system:index,MATCH1_x,mean
0000000000000000278c,6Census Tract 42111,0.264622512
0000000000000000278d,6Census Tract 42111,0.264622512
2790,6Census Tract 42141,0.244764722
2791,6Census Tract 42171,0.198376104
2792,6Census Tract 42181,0.213163882
2793,6Census Tract 42191,0.186129962
0000000000000000279a,6Census Tract 42061,0.177947132
000000000000000027b9,6Census Tract 40701,0.148352765
000000000000000027ba,6Census Tract 40721,0.118193425
000000000000000027bc,6Census Tract 40741,0.108541596
000000000000000027bd,6Census Tract 40761,0.172759897
000000000000000027be,6Census Tract 40771,0.177714972
000000000000000027bf,6Census Tract 40781,0.269076441
000000000000000027c1,6Census Tract 42371,0.245002639
000000000000000027c2,6Census Tract 42381,0.273799592
000000000000000027c5,6Census Tract 4239.011,0.153103024
000000000000000027cf,6Census Tract 42781,0.192944693
000000000000000027d4,6Census Tract 4240.011,0.170437711
2.70E+08,6Census Tract 43091,0.153820678
000000000000000027f0,6Census Tract 43101,0.139873327
000000000000000027f1,6Census Tract 43211,0.22149581
000000000000000027f8,6Census Tract 42801,0.141795166
000000000000000027fe,6Census Tract 43071,0.205788183
2807,6Census Tract 42251,0.219268327
2808,6Census Tract 42271,0.236704529
2809,6Census Tract 42291,0.092328682
0000000000000000280a,6Census Tract 42301,0.189786571
0000000000000000280b,6Census Tract 42311,0.172621217
0000000000000000280c,6Census Tract 4240.021,0.165625484
2812,6Census Tract 42621,0.244686866
2849,6Census Tract 42331,0.182918055
2861,6Census Tract 4419.271,0.176944108
2870,6Census Tract 4041.011,0.157547908
2871,6Census Tract 4053.021,0.092962634
2879,6Census Tract 40561,0.163003786
0000000000000000287f,6Census Tract 40571,0.150264534
2880,6Census Tract 40581,0.171378441
0000000000000000288d,6Census Tract 40481,0.246832608
0000000000000000288e,6Census Tract 40521,0.15770192
0000000000000000288f,6Census Tract 40551,0.151980641
2890,6Census Tract 4507.501,0.181320565
2891,6Census Tract 4514.031,0.228035423
2899,6Census Tract 40511,0.258390615
0000000000000000289a,6Census Tract 40491,0.19063574
000000000000000028a5,6Census Tract 4054.011,0.113009481
000000000000000028b1,6Census Tract 4517.031,0.247717691
000000000000000028b5,6Census Tract 4423.021,0.199459612
000000000000000028b6,6Census Tract 4066.021,0.153237183
000000000000000028b7,6Census Tract 4071.011,0.160066678
000000000000000028b8,6Census Tract 4071.021,0.166475187
000000000000000028b9,6Census Tract 4325.011,0.167518957
000000000000000028ba,6Census Tract 4062.011,0.120222726
000000000000000028bb,6Census Tract 4062.021,0.134733676
000000000000000028bc,6Census Tract 40631,0.165242465
000000000000000028c2,6Census Tract 4505.011,0.260869275
2979,6Census Tract 43261,0.158383463
00000000000000002ae9,6Census Tract 40111,0.11726702
00000000000000002aea,6Census Tract 40111,0.11726702
00000000000000002aeb,6Census Tract 40111,0.11726702
